DATE,TRANSACTION DETAILS,CHQ.NO./ Ref No.,VALUE DATE,WITHDRAWAL AMT,DEPOSIT AMT,BALANCE AMT
01 - Jan - 15,TRF FROM Indiaforensic SERVICES,28494924977,01 - Jan - 15,,"10,00,000","10,00,000"
01 - Jan - 15,TRF FROM Indiaforensic SERVICES,28494879059,01 - Jan - 151,,"10,00,000","19,99,999"
01 - Jan - 15,FDRL / INTERNAL FUND TRANSFER,28494955546,01 - Jan - 15,,"5,00,000","24,99,999"
02 - Jan - 15,TRF FRM Indiaforensic SERVICES,28494890801,02 - Jan - 15 ,,"30,00,000","54,99,999"
,FDRL / INTERNAL FUND TRANSFER,28494863821,,,"5,00,000","59,99,999"
02 - Jan - 15,FDRL / INTERNAL FUND TRANSFER,28494885357,02 - Jan - 15,,"5,00,000","64,99,999"
02 - Jan - 15,FDRL / INTERNAL FUND TRANSFER,28494925698,02 - Jan - 15,,"5,00,000","69,99,999"
02 - Jan - 15,FDRL / INTERNAL FUND TRANSFER,28494949082,02 - Jan - 15,,"5,00,000","74,99,999"
02 - Jan - 15,FDRL / INTERNAL FUND TRANSFER,28494879547,02 - Jan - 15,,"5,00,000","79,99,999"
02 - Jan - 15,,28494945225,02 - Jan - 15,,"5,00,000,00","84,99,999"
02 - Jan - 15,INDO GIBL Indiaforensic STL01071,28494965624,02 - Jan - 15,"1,33,900",,"83,66,099"
,INDO GIBL Indiaforensic STL02071,28494897004,,"18,00,000",,"65,66,099"
02 - Jan - 15,INDO GIBL Indiaforensic STL03071,28494947159,02 - Jan - 15,"50,00,000",,"15,66,099"
03 - Jan - 15,INDO GIBL Indiaforensic STL04071,28494911751,03 - Jan - 15,"1,95,800",,"13,70,299"
03 - Jan - 15,INDO GIBL Indiaforensic STL05071,28494918743,03 - Jan - 15 ,"81,600",,"12,88,699"
03 - Jan - 15,INDO GIBL Indiaforensic STL06071,28494918300,03 - Jan - 15,41.0,,12.0
03 - Jan - 15,INDO GIBL Indiaforensic STL07071,28494876586,03 - Jan - 15,"98,50,000",,"-86,03,101"
05 - Jan - 15,INDO GIBL Indiaforensic STL10071,28494960197,05 - Jan - 15,,98487384.0,"8,98,84,283"
05 - Jan - 15,INDO GIBL Indiaforensic STL11071,28494867308,05 - Jan - 15,3.0,,"8,95,52,633"
05 - Jan - 15,INDO GIBL Indiaforensic STL12071,28494877713,05 - Jan - 15,"1,29,000",,"8,94,23,633"
05 - Jan - 15,INDO GIBL Indiaforensic STL13071,28494930171,05 - Jan - 15,"2,30,013",,"8,91,93,620"
05 - Jan - 15,INDO GIBL Indiaforensic STL14071,28494927118,05 - Jan - 15,"3,67,900",,"8,88,25,720"
05 - Jan - 15,INDO GIBL Indiaforensic STL15071,28494973661,05 - Jan - 15,"1,08,000",,"8,87,17,720"
05 - Jan - 15,INDO GIBL Indiaforensic STL16071,28494912451,05 - Jan - 15,"64,800",,"8,86,52,920"
05 - Jan - 15,INDO GIBL Indiaforensic STL17071,28494880266,05 - Jan - 15,"1,41,000",,"8,85,11,920"
05 - Jan - 15,INDO GIBL Indiaforensic STL18071,28494880897,05 - Jan - 15,"61,750",,"8,84,50,170"
05 - Jan - 15,INDO GIBL Indiaforensic STL19071,28494901044,05 - Jan - 15,"67,920",,"8,83,82,250"
05 - Jan - 15,INDO GIBL Indiaforensic STL20071,28494965834,05 - Jan - 15,"78,100",,"8,83,04,150"
05 - Jan - 15,INDO GIBL Indiaforensic STL21071,28494888819,05 - Jan - 15,"35,650",,"8,82,68,500"
