"DATE","TRANSACTION DETAILS","CHQ.NO./ Ref No.","VALUE DATE","WITHDRAWAL AMT","DEPOSIT AMT","BALANCE AMT",
"1-Jan-15","TRF FROM Indiaforensic SERVICES","28494924977","1-Jan-15","","1,000,000.00","1,000,000.00",
"1-Jan-15","FDRL/INTERNAL FUND TRANSFER","28494955546","1-Jan-15","","500,000.00","2,499,999.00",
"2-Jan-15","TRF FRM Indiaforensic SERVICES","28494890801","2-Jan-15","","3,000,000.00","5,499,999.00",
"","FDRL/INTERNAL FUND TRANSFER","28494863821","","","500,000.00","5,999,999.00",
"2-Jan-15","FDRL/INTERNAL FUND TRANSFER","28494885357","2-Jan-15","","500,000.00","6,499,999.00",
"2-Jan-15","FDRL/INTERNAL FUND TRANSFER","28494925698","2-Jan-15","","500,000.00","6,999,999.00",
"2-Jan-15","FDRL/INTERNAL FUND TRANSFER","28494949082","2-Jan-15","","500,000.00","7,499,999.00",
"2-Jan-15","FDRL/INTERNAL FUND TRANSFER","","2-Jan-15","","500,000.00","7,999,999.00",
"2-Jan-15","INDO GIBL Indiaforensic STL01071","28494965624","2-Jan-15","133,900.00","","8,366,099.00",
"","INDO GIBL Indiaforensic STL02071","28494897004","","1,800,000.00","","6,566,099.00",
"2-Jan-15","INDO GIBL Indiaforensic STL03071","28494947159","2-Jan-15","5,000,000.00","","1,566,099.00",
"3-Jan-15","INDO GIBL Indiaforensic STL04071","28494911751","3-Jan-15","195,800.00","","1,370,299.00",
"3-Jan-15","INDO GIBL Indiaforensic STL05071","28494918743","3-Jan-15","81,600.00","","1,288,699.00",
"3-Jan-15","INDO GIBL Indiaforensic STL06071","28494918300","3-Jan-15","41,800.00","","1,246,899.00",
"5-Jan-15","INDO GIBL Indiaforensic STL10071","28494960197","5-Jan-15","","98487384","89,884,283.00",
"5-Jan-15","INDO GIBL Indiaforensic STL11071","28494867308","5-Jan-15","331,650.00","","89,552,633.00",
"5-Jan-15","INDO GIBL Indiaforensic STL12071","28494877713","5-Jan-15","129,000.00","","89,423,633.00",
"5-Jan-15","INDO GIBL Indiaforensic STL13071","28494930171","5-Jan-15","230,013.00","","89,193,620.00",
"5-Jan-15","INDO GIBL Indiaforensic STL14071","28494927118","5-Jan-15","367,900.00","","88,825,720.00",
"5-Jan-15","INDO GIBL Indiaforensic STL15071","28494973661","5-Jan-15","108,000.00","","88,717,720.00",
