"Serial No","DATE","TRANSACTION DETAILS","","CHQ.NO./ Ref No.","VALUE DATE","WITHDRAWAL AMT","DEPOSIT AMT","BALANCE AMT","Label",
"1","01-Jan-15","TRF FROM","Indiaforensic SERVICES","28494924977","01-Jan-15","0","1000000","1000000","0",
"2","01-Jan-15","TRF FROM","Indiaforensic SERVICES","28494879059","01-Jan-15","0","1000000","1999999","2",
"3","01-Jan-15","FDRL/INTERNAL FUND TRANSFER","","28494955546","01-Jan-15","0","500000","2499999","0",
"4","02-Jan-15","TRF FRM","Indiaforensic SERVICES","28494890801","02-Jan-15","0","3000000","5499999","0",
"5","","FDRL/INTERNAL FUND TRANSFER","","28494863821","","0","500000","5999999","6",
"6","02-Jan-15","FDRL/INTERNAL FUND TRANSFER","","28494885357","02-Jan-15","0","500000","6499999","0",
"7","02-Jan-15","FDRL/INTERNAL FUND TRANSFER","","28494925698","02-Jan-15","0","500000","6999999","3",
"8","02-Jan-15","FDRL/INTERNAL FUND TRANSFER","","28494949082","02-Jan-15","0","500000","7499999","0",
"9","02-Jan-15","FDRL/INTERNAL FUND TRANSFER","","","02-Jan-15","0","500000","7999999","4",
"10","02-Jan-15","","","28494945225","02-Jan-15","0","500000","8499999","0",
"11","02-Jan-15","INDO GIBL Indiaforensic STL01071","","28494965624","02-Jan-15","133900","0","8366099","3",
"12","","INDO GIBL Indiaforensic STL02071","","28494897004","","1800000","0","6566099","6",
"13","02-Jan-15","INDO GIBL Indiaforensic STL03071","","28494947159","02-Jan-15","5000000","0","1566099","0",
"14","03-Jan-15","INDO GIBL Indiaforensic STL04071","","28494911751","03-Jan-15","195800","0","1370299","3",
"15","03-Jan-15","INDO GIBL Indiaforensic STL05071","","28494918743","03-Jan-15","81600","0","1288699","0",
"16","03-Jan-15","INDO GIBL Indiaforensic STL06071","","28494918300","03-Jan-15","41800","0","1246899","0",
"17","03-Jan-15","INDO GIBL Indiaforensic STL07071","","28494876586","03-Jan-15","9850000","0","-8603101","7",
"18","05-Jan-15","INDO GIBL Indiaforensic STL10071","","28494960197","05-Jan-15","0","98487384","89884283","0",
"19","05-Jan-15","INDO GIBL Indiaforensic STL11071","","28494867308","05-Jan-15","331650","0","89552633","0",
"20","05-Jan-15","INDO GIBL Indiaforensic STL12071","","28494877713","05-Jan-15","129000","0","89423633","0",
"21","05-Jan-15","INDO GIBL Indiaforensic STL13071","","28494930171","05-Jan-15","230013","0","89193620","0",
"22","05-Jan-15","INDO GIBL Indiaforensic STL14071","","28494927118","05-Jan-15","367900","0","88825720","0",
"23","05-Jan-15","INDO GIBL Indiaforensic STL15071","","28494973661","05-Jan-15","108000","0","88717720","3",
"24","05-Jan-15","INDO GIBL Indiaforensic STL16071","","28494912451","05-Jan-15","64800","0","88652920","0",
"25","05-Jan-15","INDO GIBL Indiaforensic STL17071","","28494880266","05-Jan-15","141000","0","88511920","0",
"26","05-Jan-15","INDO GIBL Indiaforensic STL18071","","28494880897","05-Jan-15","61750","0","88450170","0",
"27","05-Jan-15","INDO GIBL Indiaforensic STL19071","","28494901044","05-Jan-15","67920","0","88382250","0",
"28","05-Jan-15","INDO GIBL Indiaforensic STL20071","","28494965834","05-Jan-15","78100","0","88304150","0",
"29","05-Jan-15","INDO GIBL Indiaforensic STL21071","","28494888819","05-Jan-15","35650","0","88268500","0",
"30","06-Jan-15","INDO GIBL Indiaforensic STL22071","","28494893861","06-Jan-15","206000","0","88062500","0",
"31","06-Jan-15","INDO GIBL Indiaforensic STL24071","","28494911990","06-Jan-15","35300","0","88027200","0",
"32","06-Jan-15","INDO GIBL Indiaforensic STL25071","","28494911751","06-Jan-15","49800","0","87977380","2|3",
"33","06-Jan-15","INDO GIBL Indiaforensic STL26071","","28494973384","06-Jan-15","53000","0","87924380","0",
"34","06-Jan-15","INDO GIBL Indiaforensic STL27071","","28494884340","06-Jan-15","91300","0","87833080","0",
"35","06-Jan-15","INDO GIBL Indiaforensic STL28071","","28494942065","06-Jan-15","57499","0","87775581","0",
"36","07-Jan-15","INDO GIBL Indiaforensic STL30071","","28494894067","07-Jan-15","20000","0","87755571","2",
"37","","INDO GIBL Indiaforensic STL31071","","28494949297","","19400","0","87736171","6",
"38","07-Jan-15","INDO GIBL Indiaforensic STL01081","","28494884546","07-Jan-15","40500","0","87695671","0",
"39","07-Jan-15","INDO GIBL Indiaforensic STL02081","","28494918410","07-Jan-15","242300","0","87453371","0",
"40","08-Jan-15","INDO GIBL Indiaforensic STL03081","","28494920133","08-Jan-15","90100","0","87363271","0",
"41","08-Jan-15","INDO GIBL Indiaforensic STL04081","","28494880910","08-Jan-15","113250","0","87250021","0",
"42","08-Jan-15","INDO GIBL Indiaforensic STL05081","","28494883166","08-Jan-15","12500","0","87237521","0",
"43","08-Jan-15","INDO GIBL Indiaforensic STL06081","","28494943114","08-Jan-15","40000","0","87197521","0",
"44","09-Jan-15","INDO GIBL Indiaforensic STL07081","","28494895264","09-Jan-15","206900","0","86990621","0",
"45","09-Jan-15","INDO GIBL Indiaforensic STL08081","","28494916859","09-Jan-15","276000","0","86714621","0",
"46","09-Jan-15","INDO GIBL Indiaforensic STL09081","","28494926549","09-Jan-15","171000","0","86543621","0",
"47","09-Jan-15","INDO GIBL Indiaforensic STL10081","","28494943592","09-Jan-15","40100","0","86503521","0",
"48","10-Jan-15","INDO GIBL Indiaforensic STL11081","","28494927668","10-Jan-15","189800","0","86313721","0",
"49","10-Jan-15","INDO GIBL Indiaforensic STL12081","","28494929541","10-Jan-15","55800","0","86257921","0",
"50","10-Jan-15","INDO GIBL Indiaforensic STL13081","28494860446","10-Jan-15","95400","0","86162521","0",
"51","10-Jan-15","INDO GIBL Indiaforensic STL14081","28494931627","10-Jan-15","271323","0","85891198","0",
"52","10-Jan-15","INDO GIBL Indiaforensic STL16081","28494879060","10-Jan-15","200600","0","85690598","0",
"53","10-Jan-15","INDO GIBL Indiaforensic STL17081","28494868910","10-Jan-15","176900","0","85513698","0",
"54","10-Jan-15","INDO GIBL Indiaforensic STL18081","28494893197","10-Jan-15","150050","0","85363648","0",
"55","10-Jan-15","INDO GIBL Indiaforensic STL19081","28494897250","10-Jan-15","82500","0","85281148","0",
"56","10-Jan-15","INDO GIBL Indiaforensic STL20081","28494953197","10-Jan-15","14800","0","85266348","0",
"57","10-Jan-15","INDO GIBL Indiaforensic STL21081","28494934917","10-Jan-15","150600","0","85115748","0",
"58","10-Jan-15","INDO GIBL Indiaforensic STL22081","28494925084","10-Jan-15","203325","0","84912423","0",
"59","10-Jan-15","INDO GIBL Indiaforensic STL23081","28494931873","10-Jan-15","123900","0","84788523","0",
"60","12-Jan-15","INDO GIBL Indiaforensic STL24081","28494887040","12-Jan-15","33863","0","84754660","0",
"61","12-Jan-15","INDO GIBL Indiaforensic STL25081","28494967834","12-Jan-15","32000","0","84722660","0",
"62","12-Jan-15","INDO GIBL Indiaforensic STL26081","28494933112","12-Jan-15","8299","0","84714361","0",
"63","12-Jan-15","INDO GIBL Indiaforensic STL28081","28494908554","12-Jan-15","52219","0","84662142","0",
"64","13-Jan-15","INDO GIBL Indiaforensic STL29081","28494871495","13-Jan-15","96450","0","84565692","0",
"65","13-Jan-15","INDO GIBL Indiaforensic STL30081","28494917911","13-Jan-15","139863","0","84425829","0",
"66","13-Jan-15","INDO GIBL Indiaforensic STL31081","28494877319","13-Jan-15","52723","0","84373106","0",
"67","13-Jan-15","INDO GIBL Indiaforensic STL01091","28494871186","13-Jan-15","77251","0","84295855","0",
"68","14-Jan-15","INDO GIBL Indiaforensic STL02091","28494908017","14-Jan-15","20000","0","84275855","0",
"69","","INDO GIBL Indiaforensic STL03091","28494934619","","10000","0","84265855","6",
"70","14-Jan-15","INDO GIBL Indiaforensic STL04091","28494897747","14-Jan-15","103600","0","84162255","0",
"71","14-Jan-15","INDO GIBL Indiaforensic STL05091","28494955256","14-Jan-15","71000","0","84091255","0",
"72","14-Jan-15","INDO GIBL Indiaforensic STL06091","28494903576","14-Jan-15","129400","0","83961855","0",
"73","15-Jan-15","INDO GIBL Indiaforensic STL07091","28494910978","15-Jan-15","290163","0","83671692","0",
"74","15-Jan-15","INDO GIBL Indiaforensic STL08091","28494971443","15-Jan-15","34300","0","83637392","0",
"75","15-Jan-15","INDO GIBL Indiaforensic STL09091","38494908554","15-Jan-15","49800","0","83587592","0",
"76","15-Jan-15","INDO GIBL Indiaforensic STL10091","28494906271","15-Jan-15","44800","0","83542792","0",
"77","15-Jan-15","INDO GIBL Indiaforensic STL11091","28494880372","15-Jan-15","151550","0","83391242","0",
"78","15-Jan-15","INDO GIBL Indiaforensic STL12091","28494905656","15-Jan-15","310399","0","83080843","0",
"79","15-Jan-15","INDO GIBL Indiaforensic STL13091","28494890265","15-Jan-15","271401","0","82809442","0",
"80","15-Jan-15","INDO GIBL Indiaforensic STL14091","28494887830","15-Jan-15","275449","0","82533993","0",
"81","15-Jan-15","INDO GIBL Indiaforensic STL15091","28494875039","15-Jan-15","51502","0","82482491","0",
"82","15-Jan-15","INDO GIBL Indiaforensic STL16091","28494950373","15-Jan-15","36650","0","82445841","0",
"83","15-Jan-15","INDO GIBL Indiaforensic STL17091","28494939977","15-Jan-15","99600","0","82346241","0",
"84","16-Jan-15","FDRL/INTERNAL FUND TRANSFER","28494949249","16-Jan-15","0","500000","82846241","0",
"85","16-Jan-15","FDRL/INTERNAL FUND TRANSFER","28494888731","16-Jan-15","0","500000","83346241","0",
"86","16-Jan-15","FDRL/INTERNAL FUND TRANSFER","38494875039","16-Jan-15","0","500000","83846241","0",
"87","16-Jan-15","FDRL/INTERNAL FUND TRANSFER","28494971601","16-Jan-15","0","500000","84346241","0",
"88","16-Jan-15","FDRL/INTERNAL FUND TRANSFER","28494967098","16-Jan-15","0","500000","84846241","0",
"89","16-Jan-15","INDO GIBL Indiaforensic STL18091","28494932596","16-Jan-15","411763","0","84434478","0",
"90","16-Jan-15","INDO GIBL Indiaforensic STL19091","28494926571","16-Jan-15","355138","0","84079340","0",
"91","16-Jan-15","INDO GIBL Indiaforensic STL20091","28494943952","16-Jan-15","88656","0","83990684","0",
"92","17-Jan-15","INDO GIBL Indiaforensic STL21091","28494970615","17-Jan-15","14800","0","83975884","0",
"93","17-Jan-15","INDO GIBL Indiaforensic STL22091","28494869990","17-Jan-15","27000","0","83948884","0",
"94","17-Jan-15","INDO GIBL Indiaforensic STL23091","28494915614","17-Jan-15","42850","0","83906034","0",
"95","17-Jan-15","INDO GIBL Indiaforensic STL24091","28494938814","17-Jan-15","39925","0","83866109","0",
"96","17-Jan-15","INDO GIBL Indiaforensic STL25091","28494974935","17-Jan-15","202106","0","83664003","0",
"97","17-Jan-15","INDO GIBL Indiaforensic STL26091","28494883808","17-Jan-15","169802","0","83494201","0",
"98","17-Jan-15","INDO GIBL Indiaforensic STL27091","28494965853","17-Jan-15","200570","0","83293631","0",
"99","","INDO GIBL Indiaforensic STL28091","28494909474","","12106","0","83281525","6",
