DATE,TRANSACTION DETAILS,CHQ.NO./ Ref No.,VALUE DATE,WITHDRAWAL AMT,DEPOSIT AMT,BALANCE AMT
01 - Jan - 15,TRF FROM Indiaforensic SERVICES,28494924977.0,01 - Jan - 15,,100000000.0,100000000.0
01 - Jan - 15,TRF FROM Indiaforensic SERVICES,28494879059.0,01 - Jan - 151,,100000000.0,199999900.0
01 - Jan - 15,FDRL / INTERNAL FUND TRANSFER,28494955546.0,01 - Jan - 15,,50000000.0,249999900.0
02 - Jan - 15,TRF FRM Indiaforensic SERVICES,28494890801.0,02 - Jan - 15 .,,300000000.0,549999900.0
,FDRL / INTERNAL FUND TRANSFER,28494863821.0,,,50000000.0,599999900.0
02 - Jan - 15,FDRL / INTERNAL FUND TRANSFER,28494885357.0,02 - Jan - 15,,50000000.0,649999900.0
02 - Jan - 15,FDRL / INTERNAL FUND TRANSFER,28494925698.0,02 - Jan - 15,,50000000.0,699999900.0
02 - Jan - 15,FDRL / INTERNAL FUND TRANSFER,28494949082.0,02 - Jan - 15,,50000000.0,749999900.0
02 - Jan - 15,FDRL / INTERNAL FUND TRANSFER,28494879547.0,02 - Jan - 15,,50000000.0,799999900.0
02 - Jan - 15,,28494945225.0,02 - Jan - 15,,50000000.0,849999900.0
02 - Jan - 15,INDO GIBL Indiaforensic STL01071,28494965624.0,02 - Jan - 15,13390000.0,,836609900.0
,INDO GIBL Indiaforensic STL02071,28494897004.0,,180000000.0,,656609900.0
02 - Jan - 15,INDO GIBL Indiaforensic STL03071,28494947159.0,02 - Jan - 15,500000000.0,,156609900.0
03 - Jan - 15,INDO GIBL Indiaforensic STL04071,28494911751.0,03 - Jan - 15,19580000.0,,137029900.0
03 - Jan - 15,INDO GIBL Indiaforensic STL05071,28494918743.0,03 - Jan - 15 .,8160000.0,,128869900.0
03 - Jan - 15,INDO GIBL Indiaforensic STL06071,28494918300.0,03 - Jan - 15,4180000.0,,124689900.0
03 - Jan - 15,INDO GIBL Indiaforensic STL07071,28494876586.0,03 - Jan - 15,985000000.0,,-860310100.0
05 - Jan - 15,INDO GIBL Indiaforensic STL10071,28494960197.0,05 - Jan - 15,,98487384.0,8988428300.0
05 - Jan - 15,INDO GIBL Indiaforensic STL11071,28494867308.0,05 - Jan - 15,33165000.0,,8955263300.0
05 - Jan - 15,INDO GIBL Indiaforensic STL12071,28494877713.0,05 - Jan - 15,12900000.0,,8942363300.0
05 - Jan - 15,INDO GIBL Indiaforensic STL13071,28494930171.0,05 - Jan - 15,23001300.0,,8919362000.0
05 - Jan - 15,INDO GIBL Indiaforensic STL14071,28494927118.0,05 - Jan - 15,36790000.0,,8882572000.0
05 - Jan - 15,INDO GIBL Indiaforensic STL15071,28494973661.0,05 - Jan - 15,10800000.0,,8871772000.0
05 - Jan - 15,INDO GIBL Indiaforensic STL16071,28494912451.0,05 - Jan - 15,6480000.0,,8865292000.0
05 - Jan - 15,INDO GIBL Indiaforensic STL17071,28494880266.0,05 - Jan - 15,14100000.0,,8851192000.0
05 - Jan - 15,INDO GIBL Indiaforensic STL18071,28494880897.0,05 - Jan - 15,6175000.0,,8845017000.0
05 - Jan - 15,INDO GIBL Indiaforensic STL19071,28494901044.0,05 - Jan - 15,6792000.0,,8838225000.0
05 - Jan - 15,INDO GIBL Indiaforensic STL20071,28494965834.0,05 - Jan - 15,7810000.0,,8830415000.0
05 - Jan - 15,INDO GIBL Indiaforensic STL21071,28494888819.0,05 - Jan - 15,3565000.0,,8826850000.0
06 - Jan - 15,INDO GIBL Indiaforensic STL22071,28494893861.0,06 - Jan - 15,20600000.0,,8806250000.0
06 - Jan - 15,INDO GIBL Indiaforensic STL24071,28494911990.0,06 - Jan - 15,3530000.0,,8802720000.0
06 - Jan - 15,INDO GIBL Indiaforensic STL25071,28494911751.0,06 - Jan - 15 .,4980000.0,,8797738000.0
06 - Jan - 15,INDO GIBL Indiaforensic STL26071,28494973384.0,06 - Jan - 15,5300000.0,,8792438000.0
06 - Jan - 15,INDO GIBL Indiaforensic STL27071,28494884340.0,06 - Jan - 15,9130000.0,,8783308000.0
06 - Jan - 15,INDO GIBL Indiaforensic STL28071,28494942065.0,06 - Jan - 15 .,5749900.0,,8777558100.0
07 - Jan - 15,INDO GIBL Indiaforensic STL30071,28494894067.0,07 - Jan - 15,2000000.0,,8775557100.0
,INDO GIBL Indiaforensic STL31071,28494949297.0,,1940000.0,,8773617100.0
07 - Jan - 15,INDO GIBL Indiaforensic STL01081,28494884546.0,07 - Jan - 15,4050000.0,,8769567100.0
07 - Jan - 15,INDO GIBL Indiaforensic STL02081,28494918410.0,07 - Jan - 15,24230000.0,,8745337100.0
08 - Jan - 15,INDO GIBL Indiaforensic STL03081,28494920133.0,08 - Jan - 15,9010000.0,,8736327100.0
08 - Jan - 15,INDO GIBL Indiaforensic STL04081,28494880910.0,08 - Jan - 15,11325000.0,,8725002100.0
08 - Jan - 15,INDO GIBL Indiaforensic STL05081,28494883166.0,08 - Jan - 15,1250000.0,,8723752100.0
08 - Jan - 15,INDO GIBL Indiaforensic STL06081,28494943114.0,"08 - Jan - 15 ,",4000000.0,,8719752100.0
09 - Jan - 15,INDO GIBL Indiaforensic STL07081,28494895264.0,09 - Jan - 15,20690000.0,,8699062100.0
