DATE,TRANSACTION DETAILS,CHQ.NO./ Ref No.,VALUE DATE,WITHDRAWAL AMT,DEPOSIT AMT,BALANCE AMT
01 - Jan - 15,TRF FROM Indiaforensic SERVICES,28494924977,01 - Jan - 15,,"10,00,00000","10,00,00000"
01 - Jan - 15,TRF FROM Indiaforensic SERVICES,28494879059,01 - Jan - 151,,"10,00,00000","19,99,99900"
01 - Jan - 15,FDRL / INTERNAL FUND TRANSFER,28494955546,01 - Jan - 15,,"5,00,00000","24,99,99900"
02 - Jan - 15,TRF FRM Indiaforensic SERVICES,28494890801,02 - Jan - 15 .,,"30,00,00000","54,99,99900"
,FDRL / INTERNAL FUND TRANSFER,28494863821,,,"5,00,00000","59,99,99900"
02 - Jan - 15,FDRL / INTERNAL FUND TRANSFER,28494885357,02 - Jan - 15,,"5,00,00000","64,99,99900"
02 - Jan - 15,FDRL / INTERNAL FUND TRANSFER,28494925698,02 - Jan - 15,,"5,00,00000","69,99,99900"
02 - Jan - 15,FDRL / INTERNAL FUND TRANSFER,28494949082,02 - Jan - 15,,"5,00,00000","74,99,99900"
02 - Jan - 15,FDRL / INTERNAL FUND TRANSFER,28494879547,02 - Jan - 15,,"5,00,00000","79,99,99900"
02 - Jan - 15,,28494945225,02 - Jan - 15,,"5,00,000,00","84,99,99900"
02 - Jan - 15,INDO GIBL Indiaforensic STL01071,28494965624,02 - Jan - 15,"1,33,90000",,"83,66,09900"
,INDO GIBL Indiaforensic STL02071,28494897004,,"18,00,00000",,"65,66,09900"
02 - Jan - 15,INDO GIBL Indiaforensic STL03071,28494947159,02 - Jan - 15,"50,00,00000",,"15,66,09900"
03 - Jan - 15,INDO GIBL Indiaforensic STL04071,28494911751,03 - Jan - 15,"1,95,80000",,"13,70,29900"
03 - Jan - 15,INDO GIBL Indiaforensic STL05071,28494918743,03 - Jan - 15 .,"81,60000",,"12,88,69900"
03 - Jan - 15,INDO GIBL Indiaforensic STL06071,28494918300,03 - Jan - 15,4180000,,"1246,89900"
03 - Jan - 15,INDO GIBL Indiaforensic STL07071,28494876586,03 - Jan - 15,"98,50,00000",,"-86,03,101.00"
05 - Jan - 15,INDO GIBL Indiaforensic STL10071,28494960197,05 - Jan - 15,,98487384,"8,98,84,28300"
05 - Jan - 15,INDO GIBL Indiaforensic STL11071,28494867308,05 - Jan - 15,33165000,,"8,95,52,63300"
05 - Jan - 15,INDO GIBL Indiaforensic STL12071,28494877713,05 - Jan - 15,"1,29,00000",,"8,94,23,63300"
05 - Jan - 15,INDO GIBL Indiaforensic STL13071,28494930171,05 - Jan - 15,"2,30,01300",,"8,91,93,62000"
